iter	Passed	Remaining
1292	55828	44299
1293	55887	44269
1294	55934	44229
1295	55977	44185
1296	56024	44145
1297	56073	44107
1298	56130	44074
1299	56182	44038
1300	56223	43993
1301	56269	43952
1302	56316	43912
1303	56355	43865
1304	56407	43829
1305	56459	43793
1306	56506	43752
1307	56551	43710
1308	56597	43669
1309	56637	43623
1310	56681	43581
1311	56723	43537
1312	56765	43492
1313	56808	43449
1314	56856	43409
1315	56897	43364
1316	56944	43324
1317	56990	43283
1318	57034	43240
1319	57079	43198
1320	57121	43154
1321	57166	43112
1322	57208	43068
1323	57249	43023
1324	57298	42984
1325	57351	42948
1326	57396	42906
1327	57441	42864
1328	57491	42826
1329	57537	42785
1330	57590	42749
1331	57630	42703
1332	57681	42666
1333	57723	42622
1334	57761	42574
1335	57801	42529
1336	57850	42490
1337	57897	42449
1338	57938	42404
1339	57981	42360
1340	58025	42318
1341	58069	42275
1342	58114	42233
1343	58160	42192
1344	58205	42150
1345	58246	42105
1346	58290	42062
1347	58341	42025
1348	58388	41984
1349	58434	41942
1350	58485	41905
1351	58530	41863
1352	58581	41825
1353	58643	41795
1354	58703	41763
1355	58758	41728
1356	58801	41685
1357	58856	41650
1358	58897	41605
1359	58942	41563
1360	58988	41521
1361	59036	41481
1362	59082	41439
1363	59126	41397
1364	59168	41352
1365	59215	41311
1366	59261	41270
1367	59316	41235
1368	59362	41194
1369	59409	41152
1370	59455	41111
1371	59501	41069
1372	59547	41028
1373	59593	40986
1374	59641	40946
1375	59685	40903
1376	59726	40858
1377	59772	40817
1378	59817	40774
1379	59860	40731
1380	59907	40689
1381	59949	40645
1382	59996	40604
1383	60038	40560
1384	60079	40515
1385	60129	40476
1386	60173	40433
1387	60214	40389
1388	60265	40350
1389	60307	40306
1390	60353	40264
1391	60393	40218
1392	60434	40173
1393	60482	40133
1394	60523	40088
1395	60566	40045
1396	60617	40006
1397	60663	39964
1398	60704	39920
1399	60753	39880
1400	60794	39835
1401	60841	39794
1402	60887	39752
1403	60945	39718
1404	60998	39681
1405	61047	39641
1406	61095	39601
1407	61142	39560
1408	61186	39517
1409	61230	39473
1410	61274	39430
1411	61311	39383
1412	61357	39342
1413	61405	39301
1414	61459	39264
1415	61502	39220
1416	61544	39176
1417	61586	39132
1418	61625	39085
1419	61672	39044
1420	61724	39006
1421	61768	38963
1422	61821	38926
1423	61867	38884
1424	61912	38842
1425	61956	38798
1426	62000	38756
1427	62046	38713
1428	62092	38671
1429	62133	38627
1430	62180	38585
1431	62223	38541
1432	62269	38500
1433	62315	38458
1434	62371	38422
1435	62412	38377
1436	62462	38338
1437	62513	38298
1438	62557	38256
1439	62608	38217
1440	62651	38173
1441	62702	38134
1442	62745	38090
1443	62799	38053
1444	62843	38010
1445	62888	37968
1446	62939	37928
1447	62987	37888
1448	63032	37845
1449	63073	37800
1450	63116	37756
1451	63158	37712
1452	63207	37672
1453	63250	37628
1454	63300	37588
1455	63343	37544
1456	63388	37502
1457	63426	37455
1458	63468	37411
1459	63518	37371
1460	63566	37330
1461	63614	37289
1462	63670	37253
1463	63713	37209
1464	63757	37166
1465	63800	37122
1466	63851	37083
1467	63894	37039
1468	63949	37002
1469	64004	36965
1470	64047	36921
1471	64092	36879
1472	64132	36833
1473	64178	36791
1474	64224	36749
1475	64272	36708
1476	64317	36665
1477	64363	36623
1478	64412	36582
1479	64462	36543
1480	64509	36501
1481	64562	36463
1482	64603	36418
1483	64651	36377
1484	64691	36331
1485	64738	36290
1486	64786	36248
1487	64827	36204
1488	64872	36161
1489	64918	36119
1490	64964	36076
1491	65004	36031
1492	65049	35988
1493	65100	35948
1494	65164	35916
1495	65209	35873
1496	65255	35831
1497	65297	35787
1498	65344	35745
1499	65396	35706
1500	65440	35663
1501	65492	35624
1502	65540	35582
1503	65587	35540
1504	65629	35496
1505	65674	35453
1506	65726	35414
1507	65775	35374
1508	65822	35332
1509	65867	35289
1510	65908	35244
1511	65954	35202
1512	65997	35157
1513	66039	35113
1514	66094	35075
1515	66144	35035
1516	66192	34994
1517	66239	34952
1518	66286	34910
1519	66337	34870
1520	66388	34830
1521	66433	34787
1522	66479	34745
1523	66525	34703
1524	66566	34658
1525	66610	34614
1526	66653	34570
1527	66699	34528
1528	66753	34490
1529	66805	34450
1530	66849	34407
1531	66891	34362
1532	66935	34319
